net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,지배주주 귀속순이익률(%)(지배주주순이익 / 영업수익) * 100지배주주순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,20,3,3,4,4,,,,,,,,,,13.74,18.41,,,62,,,,,"4,760",
2022/12,,,0,,,,150,74,76,76,0,31,97.99,142.59,,,,,0,"1,213",,,,"6,247",
2023/03,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06,,,0,,,,140,72,68,68,0,31,104.70,119.28,,,,,0,"1,096",,,,"6,247",
2023/09,12,-12,-12,-10,-10,,318,45,273,273,0,39,16.51,593.31,-101.16,-90.93,-18.31,-24.58,-164,"3,467",,,,"7,875",
2023/12,,,,,,,,,,,,,,,,,,,,,,,,,
2024/03,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06,,,,,,,,,,,,,,,,,,,,,,,,,
