net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,246,24,24,63,"2,983",430,"2,553",91,16.83,"2,709.89",9.86,25.54,8.52,9.97,138,"5,620",,,1.03,"45,437",
2022/12,301,23,23,-319,"2,655",450,"2,205",91,20.40,"2,326.33",7.61,-105.94,-45.24,-53.60,-702,"4,853",,,0.99,"45,437",
2023/03,177,11,11,29,"2,809",575,"2,234",91,25.73,"2,358.04",6.44,16.33,4.22,5.20,63,"4,916",,,1.31,"45,437",
2023/06,178,5,5,149,"3,017",635,"2,382",91,26.64,"2,521.61",2.82,83.28,20.41,25.76,327,"5,243",,,1.34,"45,437",
2023/09,211,19,19,34,"3,021",604,"2,416",91,25.01,"2,559.08",8.98,16.12,4.51,5.68,75,"5,318",,,1.32,"45,437",
