net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,136,25,25,63,"1,502",275,"1,227",24,22.38,"6,175.51",18.49,45.98,16.38,20.32,262,"6,276",,,2.04,"23,981",
2022/12,150,-38,-38,-53,"1,570",385,"1,185",24,32.53,"6,033.64",-25.56,-35.59,-13.91,-17.71,-216,"5,760",,,1.84,"23,981",
2023/03,110,-2,-2,22,"1,539",326,"1,213",24,26.89,"6,151.41",-1.98,19.82,5.62,7.28,85,"5,871",,,2.06,"23,981",
2023/06,42,-12,-12,-8,"1,514",274,"1,240",24,22.08,"6,177.50",-29.20,-19.36,-2.14,-2.67,-32,"5,895",,,3.13,"23,981",
2023/09,71,-42,-42,-31,"1,544",275,"1,269",24,21.66,"6,045.43",-59.03,-44.17,-8.21,-10.01,-123,"5,771",,,2.82,"23,981",
