net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,"1,436",54,54,45,"1,357",823,534,11,153.92,"4,880.48",3.73,3.12,,,417,"4,980",,,,"10,730",
2022/12,"1,573",48,48,8,"1,145",601,544,11,110.59,"4,965.32",3.08,0.51,2.57,5.97,75,"5,065",,,,"10,730",
2023/03,"1,059",28,28,11,"1,401",631,771,14,81.85,"5,236.66",2.61,1.07,3.55,6.88,83,"5,337",,,5.72,"14,438",
2023/06,792,20,20,10,"1,338",565,773,14,73.05,"5,254.52",2.47,1.32,3.06,5.44,73,"5,355",,,4.72,"14,438",
2023/09,907,22,22,14,"1,346",559,787,14,71.06,"5,348.20",2.44,1.49,4.03,6.94,94,"5,448",,,3.74,"14,438",
