net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,135,12,12,9,"1,142",403,739,92,54.57,732.14,9.14,6.76,3.20,4.97,33,"2,821",,,1.05,"27,251",
2022/12,367,14,14,1,"2,141",994,"1,148",212,86.58,480.88,3.75,0.29,0.26,0.45,3,"2,904",,,0.85,"42,362",
2023/03,341,-29,-29,-29,"2,106",988,"1,118",212,88.33,467.03,-8.61,-8.43,-5.41,-10.15,-68,"2,835",,,1.20,"42,362",
2023/06,226,-66,-66,-64,"2,139","1,084","1,055",212,102.80,437.05,-29.23,-28.50,-12.11,-23.66,-152,"2,685",,,1.47,"42,362",
2023/09,167,-72,-72,-42,"2,106","1,094","1,012",212,108.06,416.96,-43.34,-25.43,-8.00,-16.43,-100,"2,585",,,1.27,"42,362",
