net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,"1,071",223,223,322,"5,713",940,"4,773",62,19.70,"7,901.35",20.81,30.09,23.06,27.81,"2,617","40,007",,,1.47,"12,320",
2022/12,945,174,174,-48,"5,535",810,"4,725",62,17.15,"7,822.90",18.44,-5.11,-3.44,-4.07,-392,"39,615","1,000",,1.68,"12,320",1.50
2023/03,758,86,86,123,"5,609",883,"4,727",62,18.67,"7,826.23",11.41,16.24,8.83,10.42,999,"39,631",,,2.25,"12,320",
2023/06,743,75,75,292,"5,715",678,"5,037",62,13.46,"8,329.90",10.05,39.22,20.60,23.89,"2,366","42,150",,,2.65,"12,320",
2023/09,703,72,72,148,"5,740",560,"5,180",62,10.81,"8,561.73",10.20,21.10,10.36,11.62,"1,204","43,309",,,3.23,"12,320",
