net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/12,25,-9,-9,-9,198,10,188,27,5.28,588.48,-36.30,-37.37,-17.82,-19.17,-176,"3,592",,,,"5,240",
2023/03,11,-21,-21,-20,391,12,379,32,3.10,"1,080.56",-195.19,-177.87,-26.58,-27.59,-351,"6,120",,,8.15,"6,198",
2023/06,25,-6,-6,-2,390,10,380,32,2.66,"1,082.11",-23.83,-8.39,-2.16,-2.22,-34,"6,128",,,5.74,"6,198",
2023/09,29,-7,-7,-4,426,70,356,32,19.51,"1,070.37",-25.34,-13.17,-3.70,-4.10,-61,"6,067",,,5.15,"6,198",
2023/12,51,13,13,13,377,22,355,32,6.16,"1,065.91",25.89,24.82,12.73,14.36,206,"6,044",,,4.96,"6,198",
