net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,130,7,7,6,671,119,551,54,21.62,919.32,5.52,4.81,3.68,4.59,58,"5,097",,,0.74,"10,820",
2022/12,79,-28,-28,-23,629,99,530,54,18.68,879.17,-36.10,-29.67,-14.40,-17.30,-216,"4,896",,,0.93,"10,820",
2023/03,35,-6,-6,-11,666,149,516,54,28.95,854.23,-17.54,-29.73,-6.49,-8.04,-97,"4,771",,,1.10,"10,820",
2023/06,81,-16,-16,-20,656,161,494,54,32.59,813.94,-19.24,-25.36,-12.39,-16.20,-189,"4,570",,,1.20,"10,820",
2023/09,106,1,1,1,696,199,496,54,40.15,817.49,0.51,0.49,0.31,0.42,5,"4,587",,,1.14,"10,820",
