net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,29,-46,-46,-44,503,44,459,87,9.49,428.04,-159.10,-151.07,-32.27,-36.41,-251,"2,640",,,3.64,"17,384",
2022/12,44,-63,-63,-66,447,49,398,88,12.35,352.09,-142.94,-148.24,-55.26,-61.23,-374,"2,260",,,3.05,"17,618",
2023/03,33,-51,-51,-47,425,70,354,88,19.85,302.30,-156.65,-145.88,-43.56,-50.47,-270,"1,998",,,5.12,"17,736",
2023/06,35,-66,-66,-65,335,41,294,89,13.94,231.44,-190.20,-186.42,-68.15,-79.85,-365,"1,657",,,8.93,"17,736",
2023/09,45,-42,-42,-39,297,38,258,89,14.85,191.31,-92.21,-87.04,-49.77,-56.92,-222,"1,457",,,10.81,"17,736",
