net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,1,-16,-16,-11,385,20,366,42,5.42,767.69,"-1,274.67",-913.10,-11.72,-12.30,-135,"4,338",,,1.77,"8,426",
2022/12,17,-1,-1,-1,381,29,352,42,8.17,736.03,-8.44,-3.24,-0.57,-0.61,-7,"4,180",,,1.49,"8,426",
2023/03,4,-14,-14,-10,360,18,342,42,5.25,712.07,-370.50,-267.39,-11.25,-12.00,-124,"4,060",,,2.19,"8,426",
2023/06,21,-13,-13,-10,361,27,334,42,8.04,690.09,-60.70,-48.83,-11.17,-11.91,-119,"3,950",,,3.26,"8,449",
2023/09,29,-11,-11,-8,363,29,333,43,8.84,677.57,-37.93,-27.75,-8.93,-9.68,-94,"3,888",,,2.98,"8,572",
