net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,27,2,2,5,,,,,,,6.79,18.25,,,18,,,,,"28,442",
2022/12,44,11,11,8,126,51,75,25,68.26,199.77,25.38,18.47,,,28,263,,,,"28,442",
2023/03,22,-9,-9,-47,265,56,209,29,26.62,631.40,-43.56,-218.56,-96.98,-133.42,-166,731,,,11.55,"28,633",
2023/06,24,-3,-3,-3,364,145,219,30,66.20,655.21,-13.92,-13.12,-3.95,-5.81,-11,755,,,12.16,"29,497",
2023/09,23,-14,-14,-13,362,154,209,30,73.73,619.88,-58.92,-54.92,-13.89,-23.60,-43,720,,,10.54,"29,497",
