net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,31,-16,-16,-12,694,147,547,156,26.98,257.72,-50.89,-38.92,-8.66,-11.87,-46,"1,812",,,1.64,"30,775",
2022/12,68,-19,-19,-25,800,248,552,159,44.84,253.88,-27.62,-36.51,-13.23,-17.99,-78,"1,791",,,1.25,"31,454",
2023/03,38,-8,-8,-8,793,243,550,161,44.13,248.53,-21.54,-21.91,-4.16,-6.00,-26,"1,764",,,1.50,"31,802",
2023/06,24,-9,-9,-21,738,193,545,166,35.40,236.21,-39.29,-88.63,-11.16,-15.59,-65,"1,703",,,1.32,"32,659",
2023/09,21,-12,-12,-15,731,202,530,166,38.04,227.01,-56.59,-73.60,-8.33,-11.39,-47,"1,656",,,1.05,"32,659",
