net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/12,30,-3,-3,-9,279,37,242,41,15.10,494.82,-10.65,-29.15,-12.25,-14.19,-107,"2,974",,,1.53,"8,144",
2023/03,17,-10,-10,-4,259,21,238,41,8.89,485.21,-60.42,-25.65,-6.58,-7.37,-54,"2,926",,,1.76,"8,144",
2023/06,22,-4,-4,-3,254,17,237,41,7.18,474.60,-19.00,-11.39,-3.97,-4.29,-31,"2,873",,,2.36,"8,245",
2023/09,4,-16,-16,-25,230,18,212,41,8.50,414.09,-386.45,-602.11,-41.77,-45.03,-306,"2,570",,,1.98,"8,245",
2023/12,2,-4,-4,-5,234,26,207,41,12.70,403.09,-224.50,-286.53,-8.37,-9.26,-59,"2,515",,,3.18,"8,245",
