net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,112,31,31,32,"1,838",767,"1,071",251,71.62,336.94,27.97,28.87,6.99,11.99,64,"2,185",,,1.79,"50,154",
2022/12,117,25,25,27,"2,003",883,"1,120",251,78.88,356.41,21.32,22.81,5.56,9.75,53,"2,282",,,1.74,"50,154",
2023/03,75,4,4,8,"1,858",758,"1,100",251,68.90,338.68,5.21,11.37,1.76,3.06,17,"2,193",,,2.29,"50,154",
2023/06,58,-24,-24,-15,"1,967",913,"1,054",251,86.62,330.24,-40.96,-25.08,-3.04,-5.39,-29,"2,151",,,2.92,"50,154",
2023/09,96,8,8,14,"1,920",851,"1,070",251,79.50,336.57,7.95,14.60,2.87,5.26,28,"2,183",,,2.49,"50,154",
