net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,275,37,37,44,"1,179",534,645,64,82.81,968.93,13.47,15.86,14.87,28.05,343,"5,345",,,2.58,"12,718",
2022/12,288,31,31,9,"1,161",490,671,64,72.99,"1,006.58",10.81,3.23,3.18,5.66,73,"5,533",200,,2.49,"12,757",1.45
2023/03,107,-44,-44,-41,"1,141",533,608,64,87.74,907.18,-41.07,-37.88,-14.09,-25.37,-318,"5,036",,,4.16,"12,758",
2023/06,201,-45,-45,-41,"1,155",583,571,64,102.10,848.53,-22.53,-20.29,-14.24,-27.72,-320,"4,743",,,6.43,"12,780",
2023/09,173,-27,-27,-22,"1,130",577,553,64,104.32,819.42,-15.73,-12.49,-7.56,-15.36,-169,"4,597",,,6.91,"12,786",
