net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,33,-15,-15,-10,,,,,,,-46.08,-30.32,,,-280,,,,,"3,579",
2022/12,33,-12,-12,-15,254,136,118,18,114.93,560.93,-35.15,-44.60,,,-412,"3,305",,,,"3,579",
2023/03,36,-13,-13,-14,245,140,105,18,133.57,485.01,-36.90,-37.77,-21.78,-48.72,-379,"2,925",,,,"3,579",
2023/06,39,-14,-14,-16,232,142,90,18,156.76,404.47,-37.40,-41.95,-27.18,-66.40,-452,"2,522",,,,"3,579",
2023/09,29,-15,-15,-14,411,111,300,23,36.86,"1,232.47",-51.18,-48.99,-17.39,-28.63,-330,"6,662",,,2.38,"4,506",
