net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,580,50,50,112,"3,180",303,"2,876",55,10.55,"5,139.85",8.58,19.30,14.12,15.79,"1,011","26,199",,,1.54,"11,061",
2022/12,539,55,55,-64,"3,164",395,"2,769",55,14.28,"4,956.22",10.10,-11.78,-8.02,-9.01,-575,"25,281",500,,1.46,"11,061",1.35
2023/03,241,-26,-26,-0,"3,028",379,"2,649",55,14.30,"4,859.80",-10.65,-0.13,-0.04,-0.05,-3,"24,799",,,1.76,"11,061",
2023/06,322,3,3,1,"2,925",272,"2,653",55,10.26,"4,866.22",0.90,0.39,0.17,0.19,11,"24,831",,,2.22,"11,061",
2023/09,389,52,52,60,"3,014",272,"2,742",55,9.91,"5,028.25",13.39,15.41,8.08,8.89,542,"25,641",,,1.67,"11,061",
