net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,59,6,6,15,717,181,535,32,33.91,"1,618.51",10.14,24.90,8.53,11.19,46,"1,719",,,1.64,"31,812",
2022/12,69,2,2,-17,683,168,514,32,32.75,"1,553.43",3.25,-23.80,-9.43,-12.58,-52,"1,653",30,,1.60,"31,812",1.14
2023/03,114,16,16,18,722,198,523,32,37.85,"1,581.94",13.72,15.63,10.12,13.70,56,"1,682",,,2.51,"31,812",
2023/06,91,2,2,2,719,193,525,32,36.76,"1,587.97",1.78,2.12,1.07,1.46,6,"1,688",,,2.36,"31,812",
2023/09,104,14,14,17,719,177,542,32,32.69,"1,640.40",13.32,16.03,9.28,12.50,52,"1,740",,,1.79,"31,812",
