net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,65,11,11,12,,,,,,,17.59,17.95,,,174,,,,,"6,665",
2022/12,37,2,2,-21,353,259,94,22,274.34,332.75,5.56,-55.82,,,-313,"1,416",,,,"6,665",
2023/03,23,-3,-3,-82,463,309,154,33,200.49,362.80,-12.27,-348.42,-80.11,-263.17,"-1,227","2,314",,,,"6,665",
2023/06,23,-3,-3,-32,387,150,236,37,63.72,543.89,-13.01,-140.41,-30.21,-65.80,-438,"3,219",,,4.78,"7,334",
2023/09,30,-6,-6,-1,382,146,236,37,62.17,542.27,-20.11,-1.98,-0.61,-1.00,-8,"3,211",,,3.92,"7,334",
