net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,36,-15,-15,-3,842,178,664,304,26.84,118.65,-42.41,-8.24,-1.41,-1.78,-97,"21,865",,,0.40,"3,036",
2022/12,41,-19,-19,-134,697,160,536,16,29.92,"3,256.64",-46.03,-325.90,-69.77,-89.46,"-4,406","16,783",,,0.56,"3,215",
2023/03,56,-13,-13,9,694,135,558,17,24.23,"3,174.46",-23.82,16.52,5.37,6.82,272,"16,372",,,0.41,"3,431",
2023/06,33,-9,-9,-33,642,116,526,17,22.04,"2,984.76",-27.48,-99.78,-19.48,-24.00,-948,"15,424",,,0.36,"3,431",
2023/09,13,-19,-19,-21,727,157,570,24,27.62,"2,314.49",-142.74,-155.61,-12.26,-15.31,-459,"12,072",,,0.64,"4,748",
