매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,지배주주 귀속순이익률(%)(지배주주순이익 / 영업수익) * 100지배주주순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
140,23,23,28,28,-0,799,456,343,344,-0,44,132.91,683.45,16.40,19.81,14.06,33.71,317,"3,917",,,1.22,"8,769",
184,23,23,54,54,-0,792,390,402,402,-0,44,96.96,817.59,12.34,29.54,27.35,58.42,621,"4,588",75,,1.11,"8,769",1.47
84,-9,-9,-6,-6,-0,768,372,396,397,-0,44,93.97,804.36,-10.17,-6.94,-3.02,-5.81,-66,"4,522",,,1.68,"8,769",
146,14,14,8,8,-0,781,383,398,398,-0,44,96.29,808.70,9.40,5.79,4.37,8.53,97,"4,543",,,3.00,"8,769",
170,7,7,4,6,-2,760,358,402,405,-3,44,89.20,822.84,4.04,3.64,1.93,6.18,71,"4,614",,,2.74,"8,769",
164,24,24,18,,,,,,,,,,,,11.21,,,210,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
