매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,지배주주 귀속순이익률(%)(지배주주순이익 / 영업수익) * 100지배주주순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
752,161,161,139,139,,"4,275","1,596","2,679","2,679",0,50,59.57,"5,305.47",21.43,18.47,13.38,21.50,"1,386","27,027",,,1.47,"10,020",
716,70,70,52,52,,"3,878","1,301","2,577","2,577",0,50,50.50,"5,101.00",9.71,7.32,5.15,7.98,523,"26,005","1,000",,1.66,"10,020",2.32
631,68,68,46,46,,"3,934","1,361","2,574","2,574",0,50,52.86,"5,095.04",10.74,7.35,4.75,7.20,463,"25,975",,,1.94,"10,020",
628,65,65,77,77,,"5,032","2,206","2,826","2,826",0,52,78.08,"5,358.83",10.29,12.32,6.90,11.46,764,"27,294",,,2.26,"10,461",
913,116,116,96,58,39,"5,603","2,956","2,647","1,973",674,52,111.69,"3,727.99",12.73,6.31,7.24,9.61,551,"19,140",,,2.54,"10,461",
900,82,82,235,,,,,,,,,,,,26.12,,,"2,248",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
