net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,30,-0,-0,-51,680,267,413,91,64.72,352.25,-1.36,-169.06,-29.13,-46.60,-280,"2,261",,,1.79,"18,248",
2022/12,24,-3,-3,-31,628,163,465,97,35.04,380.50,-11.86,-130.66,-18.99,-28.30,-160,"2,402",,,1.97,"19,348",
2023/03,40,-1,-1,8,872,23,849,146,2.69,481.38,-2.59,19.61,4.19,4.78,30,"2,907",,,3.78,"29,213",
2023/06,33,-14,-14,-70,"1,677",670,"1,007",146,66.61,589.07,-42.23,-210.37,-21.86,-30.02,-238,"3,445",,,2.50,"29,213",
2023/09,19,-19,-19,-32,"1,892",864,"1,028",146,83.98,604.02,-102.64,-170.44,-7.19,-12.61,-110,"3,520",,,2.73,"29,213",
