매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,지배주주 귀속순이익률(%)(지배주주순이익 / 영업수익) * 100지배주주순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
31,-16,-16,-12,-12,,,,,,,,,,-50.89,-38.92,,,-46,,,,,"30,775",
68,-19,-19,-31,-31,0,799,248,552,547,5,159,44.89,250.41,-27.62,-45.93,,,-99,"1,773",,,1.26,"31,454",
79,-37,-37,-40,-39,-1,840,320,520,515,4,161,61.58,227.10,-47.00,-49.38,-19.44,-29.44,-123,"1,655",,,1.60,"31,802",
63,-12,-12,-0,-1,0,803,273,530,526,5,166,51.46,224.50,-19.41,-1.11,-0.12,-0.54,-2,"1,644",,,1.37,"32,659",
93,-17,-17,-22,-21,-1,810,301,509,505,4,166,59.17,211.95,-18.53,-22.80,-10.82,-16.52,-65,"1,580",,,1.10,"32,659",
87,-34,-34,-56,,,,,,,,,,,,-63.62,,,-170,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
