net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,102,-14,-14,-8,785,398,387,42,102.87,922.00,-14.07,-7.83,-4.17,-8.42,-19,"1,013",,,2.94,"41,689",
2022/12,131,-39,-39,-86,863,427,436,42,98.02,"1,038.58",-29.52,-65.62,-41.58,-83.28,-204,"1,128",,,2.96,"41,689",
2023/03,109,0,0,-1,767,332,435,42,76.35,"1,036.87",0.09,-0.65,-0.35,-0.66,-2,"1,126",,,3.04,"41,689",
2023/06,31,-45,-45,-35,"1,013",603,411,42,146.62,965.54,-141.63,-109.97,-15.56,-32.76,-82,"1,056",,,3.20,"41,714",
2023/09,67,13,13,-1,990,580,410,42,141.57,962.88,19.53,-0.96,-0.26,-0.62,-2,"1,053",,,2.37,"41,714",
