net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/12,205,6,6,-16,578,87,491,166,17.73,196.67,3.15,-7.72,-10.61,-12.73,-48,"1,483",,,0.86,"33,132",
2023/03,134,-4,-4,2,577,84,493,166,16.98,198.05,-3.00,1.70,1.58,1.85,7,"1,490",,,0.91,"33,132",
2023/06,132,0,0,7,577,77,500,166,15.37,202.27,0.33,5.42,4.95,5.75,22,"1,511",,,1.17,"33,132",
2023/09,134,1,1,5,587,82,505,166,16.25,205.53,0.45,4.05,3.72,4.30,16,"1,528",,,0.94,"33,132",
2023/12,128,10,10,-4,574,75,500,166,14.94,202.09,7.88,-3.28,-2.90,-3.35,-13,"1,510",,,1.08,"33,132",
