net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,86,-15,-15,3,"1,429",164,"1,265",59,12.93,"2,158.84",-17.42,3.59,0.86,0.97,26,"11,294",,,0.36,"11,747",
2022/12,94,-21,-21,-24,"1,366",121,"1,245",59,9.71,"2,135.93",-21.81,-25.68,-6.92,-7.71,-206,"11,180",100,,0.39,"11,747",2.28
2023/03,87,-21,-21,17,"1,394",152,"1,242",59,12.21,"2,131.23",-23.68,19.48,4.92,5.46,145,"11,156",,,0.48,"11,747",
2023/06,102,-1,-1,10,"1,391",141,"1,249",59,11.31,"2,157.73",-1.33,9.83,2.87,3.20,85,"11,289",,,0.46,"11,747",
2023/09,83,-10,-10,-2,"1,383",136,"1,247",59,10.93,"2,153.88",-12.00,-2.71,-0.65,-0.72,-19,"11,269",,,0.41,"11,747",
