net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,143,-6,-6,8,758,190,568,32,33.42,"1,700.33",-3.87,5.45,4.09,5.50,123,"9,002",,,1.99,"6,314",
2022/12,135,-6,-6,-17,727,172,554,32,31.06,"1,656.19",-4.36,-12.83,-9.34,-12.36,-275,"8,781",,,2.28,"6,314",
2023/03,111,-11,-11,-7,725,178,547,32,32.50,"1,633.32",-10.00,-6.51,-3.98,-5.24,-114,"8,667",,,2.31,"6,314",
2023/06,118,-8,-8,-4,713,170,543,32,31.26,"1,620.71",-7.06,-3.37,-2.21,-2.92,-63,"8,604",,,2.91,"6,314",
2023/09,135,-10,-10,-5,721,183,538,32,34.04,"1,604.10",-7.46,-3.89,-2.93,-3.88,-83,"8,520",,,2.51,"6,314",
