매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,지배주주 귀속순이익률(%)(지배주주순이익 / 영업수익) * 100지배주주순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
155,3,3,2,2,-0,867,516,351,350,1,88,146.97,321.79,2.11,1.15,0.80,1.98,10,"2,109",,,8.44,"17,679",
151,-0,-0,14,11,2,826,496,330,327,3,88,150.38,322.33,-0.06,7.56,6.41,13.47,65,"2,112",,,8.71,"17,679",
123,3,3,2,2,0,875,536,339,336,3,88,158.04,334.76,2.79,1.55,0.95,2.30,11,"2,174",,,8.89,"17,679",
126,1,1,-9,-9,-0,857,531,327,324,3,88,162.36,323.54,0.79,-6.98,-4.14,-10.61,-50,"2,118",,,7.34,"17,679",
134,3,3,1,1,-0,963,601,363,360,3,88,165.68,383.56,2.14,0.48,0.27,0.75,4,"2,418",,,1.90,"17,679",
186,-1,-1,17,,,,,,,,,,,,9.36,,,99,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
