net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,"2,586",437,437,464,"8,295","1,129","7,166",39,15.75,"18,409.10",16.91,17.96,23.03,26.79,"5,970","92,546",,,1.92,"7,779",
2022/12,"2,377",382,382,142,"8,612","1,328","7,284",39,18.23,"18,775.10",16.05,5.99,6.74,7.88,"1,830","94,376","2,000",,2.31,"7,779",0.92
2023/03,"2,309",493,493,505,"8,857","1,249","7,608",39,16.42,"19,673.86",21.33,21.85,23.11,27.11,"6,488","98,869",,,2.38,"7,779",
2023/06,"2,038",321,321,393,"8,982",982,"8,001",39,12.27,"20,683.30",15.73,19.26,17.61,20.12,"5,047","103,917",,,2.42,"7,779",
2023/09,"1,758",280,280,284,"9,174",889,"8,285",39,10.73,"21,413.54",15.90,16.15,12.51,13.95,"3,651","107,568",,,2.13,"7,779",
