매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,지배주주 귀속순이익률(%)(지배주주순이익 / 영업수익) * 100지배주주순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
151,37,37,29,29,,,,,,,,,,24.24,18.93,,,329,,,,,"8,914",
128,-7,-7,-32,-32,,"1,492",452,"1,041","1,041",0,60,43.40,"1,640.89",-5.19,-25.06,,,-291,"8,704",480,,1.38,"11,954",4.00
126,5,5,11,11,,"1,481",488,993,993,0,60,49.16,"1,561.11",3.70,8.71,2.96,4.33,92,"8,306",,,1.69,"11,954",
139,6,6,10,10,,"1,441",439,"1,002","1,002",0,60,43.84,"1,571.84",4.16,7.48,2.85,4.18,87,"8,359",,,1.61,"11,988",
150,17,17,18,18,,"1,304",286,"1,018","1,018",0,60,28.08,"1,598.72",11.53,11.69,5.11,6.95,146,"8,494",,,1.55,"11,988",
116,-21,-21,-13,,,,,,,,,,,,-11.51,,,-109,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
