net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/12,"2,824",544,544,224,"10,833","4,920","5,913",257,83.21,"2,200.07",19.27,7.93,8.29,15.43,436,"11,500",130,,2.60,"51,414",0.43
2023/03,"2,561",406,406,329,"10,902","4,727","6,175",257,76.55,"2,302.10",15.86,12.85,12.11,21.78,640,"12,011",,,2.75,"51,414",
2023/06,"2,414",335,335,467,"11,583","4,941","6,642",257,74.38,"2,483.71",13.88,19.33,16.60,29.12,908,"12,919",,,3.26,"51,414",
2023/09,"2,247",316,316,266,"12,092","5,184","6,908",257,75.05,"2,587.12",14.05,11.83,8.98,15.70,517,"13,436",,,2.50,"51,414",
2023/12,"2,450",298,298,231,"12,154","5,138","7,016",257,73.23,"2,629.25",12.17,9.44,7.63,13.29,450,"13,646",120,,2.84,"51,414",0.31
