매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,지배주주 귀속순이익률(%)(지배주주순이익 / 영업수익) * 100지배주주순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
214,-8,-8,-31,-31,0,"1,346",463,884,882,1,135,52.35,604.74,-3.86,-14.42,-8.91,-13.77,-115,"3,524",,,0.32,"26,918",
202,-10,-10,-296,-296,-1,"1,005",373,632,631,1,159,58.93,339.93,-4.71,-146.53,-100.83,-156.24,-939,"2,200",,,0.53,"31,714",
155,-21,-21,11,11,-0,959,287,672,671,1,172,42.69,329.26,-13.38,7.03,4.44,6.69,32,"2,146",,,0.62,"34,365",
205,-12,-12,-55,-55,-0,930,291,639,639,1,182,45.51,286.41,-6.03,-26.56,-23.10,-33.30,-149,"1,932",,,0.49,"36,488",
231,-8,-8,20,20,-0,929,262,667,666,1,191,39.30,248.06,-3.38,8.51,8.44,12.03,52,"1,769",,,0.53,"37,678",
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
