net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/12,"54,510","-18,843","-18,843","-48,564","918,002","316,374","601,628","36,577",52.59,"1,607.74",-34.57,-89.09,-20.70,-31.07,"-6,671","85,801",300,,0.87,"728,002",0.40
2023/03,"44,435","-22,765","-22,765","-12,962","932,043","345,190","586,854","36,577",58.82,"1,566.71",-51.23,-29.17,-5.61,-8.73,"-1,781","83,739",300,,1.06,"728,002",0.34
2023/06,"57,254","-20,600","-20,600","-17,071","927,419","359,905","567,514","36,577",63.42,"1,513.79",-35.98,-29.82,-7.34,-11.83,"-2,345","81,080",300,,1.42,"728,002",0.26
2023/09,"77,377","-7,747","-7,747","-7,397","941,959","384,087","557,872","36,577",68.85,"1,487.39",-10.01,-9.56,-3.17,-5.26,"-1,016","79,754",300,,1.44,"728,002",0.26
2023/12,"97,334","4,391","4,391","-10,933","929,494","384,311","545,183","36,577",70.49,"1,452.66",4.51,-11.23,-4.67,-7.93,"-1,502","78,009",300,,1.81,"728,002",0.21
