net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,16,-64,-64,-63,577,109,468,21,23.34,"2,142.05",-404.80,-400.87,-55.85,-73.41,-351,"2,242",,,4.71,"20,870",
2022/12,14,-134,-134,-131,517,177,341,21,51.88,"1,510.00",-936.45,-915.10,-95.40,-129.14,-623,"1,610",,,4.60,"21,161",
2023/03,11,-80,-80,-78,442,176,266,21,66.16,"1,156.46",-752.42,-737.82,-65.17,-103.06,-369,"1,256",,,15.57,"21,162",
2023/06,28,-56,-56,-55,394,167,227,21,73.66,962.71,-198.06,-192.22,-52.26,-88.63,-257,"1,063",,,18.06,"21,373",
2023/09,20,-66,-66,-65,420,252,168,21,149.99,683.67,-336.46,-332.31,-63.92,-131.75,-304,784,,,23.19,"21,424",
