net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/12,55,-2,-2,16,878,51,827,46,6.22,"1,685.83",-4.15,28.56,7.21,7.74,171,"8,929",100,,1.06,"9,272",1.06
2023/03,50,-5,-5,42,925,63,863,46,7.30,"1,763.07",-10.69,83.77,18.42,19.67,448,"9,315",,,1.19,"9,272",
2023/06,50,-5,-5,15,949,71,878,46,8.06,"1,796.06",-10.22,30.75,6.57,7.07,166,"9,480",,,1.19,"9,272",
2023/09,42,-9,-9,-20,917,65,852,46,7.62,"1,748.94",-22.05,-48.31,-8.63,-9.30,-217,"9,245",,,1.01,"9,272",
2023/12,46,-21,-21,-11,893,55,838,46,6.58,"1,736.46",-46.71,-24.05,-4.84,-5.19,-118,"9,182",100,,1.08,"9,272",1.01
