net quarter,매출액,영업이익,영업이익(발표기준),당기순이익,자산총계,부채총계,자본총계,자본금,부채비율(%)(총부채 / 총자본) * 100부채비율,유보율(%)(유보액 / 자본금) * 100유보율,영업이익률(%)(영업이익 / 영업수익) * 100영업이익률,순이익률(%)(지배주주순이익 / 영업수익) * 100순이익률,ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA,ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE,EPS(원)지배주주순이익 / 수정평균주식수EPS(원),BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원),"DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)",PER(배)수정주가(보통주) / 수정EPSPER,PBR(배)수정주가(보통주) / 수정BPSPBR,발행주식수,"배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률"
2022/09,45,-13,-13,-51,653,210,443,48,47.28,822.74,-28.06,-112.79,-31.97,-46.55,-542,"4,614",,,1.31,"9,611",
2022/12,54,-11,-11,6,894,370,523,55,70.77,856.99,-19.98,11.07,3.09,4.94,56,"4,785",,,1.19,"10,941",
2023/03,53,-4,-4,14,"1,140",581,558,56,104.04,893.19,-7.15,25.63,5.38,10.10,121,"4,966",,,1.58,"11,247",
2023/06,55,-13,-13,7,"1,131",484,647,64,74.78,910.35,-23.32,12.27,2.36,4.44,52,"5,052",,,1.08,"12,813",
2023/09,36,-12,-12,-26,"1,117",495,622,64,79.65,870.87,-34.06,-71.37,-9.22,-16.34,-202,"4,854",,,0.82,"12,813",
